step,loss,lr,exact_acc,digit_acc,elapsed
100,0.003741,3.00e-04,,,107.9
200,0.004253,3.00e-04,,,166.9
300,0.004343,3.00e-04,,,172.9
400,0.003627,3.00e-04,,,189.2
500,0.004346,3.00e-04,,,199.1
500,0.004346,3.00e-04,1.0000,1.0000,206.6
600,0.003707,3.00e-04,,,219.6
700,0.004363,3.00e-04,,,239.2
800,0.003862,3.00e-04,,,429.1
900,0.003859,3.00e-04,,,440.6
1000,0.003986,3.00e-04,,,452.3
1000,0.003986,3.00e-04,1.0000,1.0000,455.1
1100,0.004130,3.00e-04,,,463.0
1200,0.004977,3.00e-04,,,472.9
1300,0.003639,3.00e-04,,,481.3
1400,0.004220,3.00e-04,,,490.4
1500,0.003505,3.00e-04,,,496.0
1500,0.003505,3.00e-04,1.0000,1.0000,498.5
1600,0.004183,3.00e-04,,,509.7
1700,0.003784,3.00e-04,,,514.8
1800,0.004199,3.00e-04,,,519.6
1900,0.003692,3.00e-04,,,531.2
2000,0.005778,3.00e-04,,,543.0
2000,0.005778,3.00e-04,1.0000,1.0000,548.4
2100,0.003632,3.00e-04,,,561.9
2200,0.003975,3.00e-04,,,573.5
2300,0.003615,3.00e-04,,,583.0
2400,0.003612,3.00e-04,,,590.6
2500,0.003740,3.00e-04,,,604.4
2500,0.003740,3.00e-04,1.0000,1.0000,610.2
2600,0.003663,3.00e-04,,,615.5
2700,0.003376,3.00e-04,,,626.5
2800,0.003355,3.00e-04,,,633.7
2900,0.004065,3.00e-04,,,642.7
3000,0.004073,3.00e-04,,,649.6
3000,0.004073,3.00e-04,1.0000,1.0000,654.1
3100,0.004368,3.00e-04,,,665.0
3200,0.004095,3.00e-04,,,673.2
3300,0.003969,3.00e-04,,,678.2
3400,0.003456,3.00e-04,,,686.0
3500,0.003338,3.00e-04,,,694.3
3500,0.003338,3.00e-04,1.0000,1.0000,699.7
3600,0.004041,3.00e-04,,,709.3
3700,0.003388,3.00e-04,,,720.8
3800,0.003245,3.00e-04,,,730.6
3900,0.003880,3.00e-04,,,746.7
4000,0.003767,3.00e-04,,,761.1
4000,0.003767,3.00e-04,1.0000,1.0000,765.4
4100,0.003872,3.00e-04,,,776.4
4200,0.004153,3.00e-04,,,784.3
4300,0.003799,3.00e-04,,,790.3
4400,0.003124,3.00e-04,,,801.1
4500,0.004280,3.00e-04,,,806.2
